                       	memmem	simple_memmem
String T9, offset 6667:	28426.9	47718.9
String 7, offset 163838:	309607	823941
String 9S=2>9OB1?>8<T?2@H, offset 23301:	44465.3	117371
String 2JDTN46U9Y5X[J8VGH3HB8, offset 205:	994.453	1158.86
String UVYSQ1IG0LER@5A7B0QJ7G1R09LXW7, offset 16133:	68330.9	101943
String 2NBW<?KX7, offset 106179:	201040	534245
String YYEVF4>?906CP0M?69J8R00MR, offset 842:	4150.39	4994.31
String 7, offset 1046:	2067.88	5332.84
String 9, offset 163838:	309604	824171
String 9A2ZGE6M33VQ52RF5@[=G5YZ?W, offset 597:	1808.27	3133.95
