                       	strtok	oldstrtok
Length    9/3, alignment  0/ 0, fail:	591.641	1075.03
Length    9/3, alignment  0/ 3, found:	577.797	1056.31
Length    9/3, alignment  0/ 3, fail:	598.141	1066.89
Length    9/3, alignment  0/ 9, found:	577.797	1056.31
Length    9/3, alignment  0/ 9, fail:	590.828	1075.03
Length    9/3, alignment  0/15, found:	578.609	1066.08
Length    9/3, alignment  0/15, fail:	590.828	1066.91
Length    9/3, alignment  3/ 0, found:	587.562	1057.12
Length    9/3, alignment  3/ 0, fail:	590.016	1066.89
Length    9/3, alignment  3/ 3, found:	577.812	1064.45
Length    9/3, alignment  3/ 3, fail:	589.188	1076.66
Length    9/3, alignment  3/ 9, found:	577.797	1056.31
Length    9/3, alignment  3/ 9, fail:	599.781	1068.52
Length    9/3, alignment  3/15, found:	578.609	1056.33
Length    9/3, alignment  3/15, fail:	590	1076.66
Length    9/3, alignment  9/ 0, found:	578.609	1066.08
Length    9/3, alignment  9/ 0, fail:	590.828	1087.23
Length    9/3, alignment  9/ 3, found:	589.188	1056.31
Length    9/3, alignment  9/ 3, fail:	598.156	1066.08
Length    9/3, alignment  9/ 9, found:	578.609	1063.64
Length    9/3, alignment  9/ 9, fail:	590.812	1209.3
Length    9/3, alignment  9/15, found:	580.25	1056.33
Length    9/3, alignment  9/15, fail:	592.453	1076.66
Length    9/3, alignment 15/ 0, found:	580.25	1064.45
Length    9/3, alignment 15/ 0, fail:	590.812	1066.89
Length    9/3, alignment 15/ 3, found:	585.938	1056.33
Length    9/3, alignment 15/ 3, fail:	590.828	1077.47
Length    9/3, alignment 15/ 9, found:	578.609	1064.45
Length    9/3, alignment 15/ 9, fail:	590.812	1077.48
Length    9/3, alignment 15/15, found:	587.562	1057.12
Length    9/3, alignment 15/15, fail:	598.953	1066.89
Length   12/3, alignment  0/ 0, found:	577.797	1070.16
Length   12/3, alignment  0/ 0, fail:	599.766	1107.58
Length   12/3, alignment  0/ 3, found:	577.797	1070.14
Length   12/3, alignment  0/ 3, fail:	607.922	1099.45
Length   12/3, alignment  0/ 9, found:	576.984	1061.19
Length   12/3, alignment  0/ 9, fail:	599.781	1106.77
Length   12/3, alignment  0/15, found:	578.625	1071.77
Length   12/3, alignment  0/15, fail:	598.969	1097.81
Length   12/3, alignment  3/ 0, found:	594.891	1071.78
Length   12/3, alignment  3/ 0, fail:	590.812	1098.64
Length   12/3, alignment  3/ 3, found:	586.75	1080.73
Length   12/3, alignment  3/ 3, fail:	590.016	1097.81
Length   12/3, alignment  3/ 9, found:	586.75	1070.14
Length   12/3, alignment  3/ 9, fail:	598.953	1088.88
Length   12/3, alignment  3/15, found:	587.562	1079.91
Length   12/3, alignment  3/15, fail:	591.641	1098.64
Length   12/3, alignment  9/ 0, found:	586.75	1072.58
Length   12/3, alignment  9/ 0, fail:	609.547	1097.83
Length   12/3, alignment  9/ 3, found:	587.578	1079.92
Length   12/3, alignment  9/ 3, fail:	602.203	1108.39
Length   12/3, alignment  9/ 9, found:	586.75	1081.55
Length   12/3, alignment  9/ 9, fail:	599.766	1097.83
Length   12/3, alignment  9/15, found:	595.703	1071.77
Length   12/3, alignment  9/15, fail:	600.594	1109.2
Length   12/3, alignment 15/ 0, found:	587.578	1079.92
Length   12/3, alignment 15/ 0, fail:	590.016	1097.81
Length   12/3, alignment 15/ 3, found:	596.516	1070.97
Length   12/3, alignment 15/ 3, fail:	598.969	1089.69
Length   12/3, alignment 15/ 9, found:	586.75	1079.11
Length   12/3, alignment 15/ 9, fail:	590.828	1097.81
Length   12/3, alignment 15/15, found:	587.562	1082.36
Length   12/3, alignment 15/15, fail:	598.141	1089.69
Length   15/3, alignment  0/ 0, found:	574.547	1043.3
Length   15/3, alignment  0/ 0, fail:	600.594	1114.91
Length   15/3, alignment  0/ 3, found:	572.922	1052.25
Length   15/3, alignment  0/ 3, fail:	599.766	1105.97
Length   15/3, alignment  0/ 9, found:	591.625	1042.48
Length   15/3, alignment  0/ 9, fail:	599.781	1114.91
Length   15/3, alignment  0/15, found:	572.109	1053.06
Length   15/3, alignment  0/15, fail:	599.766	1112.47
Length   15/3, alignment  3/ 0, found:	572.109	1043.3
Length   15/3, alignment  3/ 0, fail:	607.922	1108.39
Length   15/3, alignment  3/ 3, found:	573.734	1051.44
Length   15/3, alignment  3/ 3, fail:	600.594	1118.16
Length   15/3, alignment  3/ 9, found:	572.094	1052.25
Length   15/3, alignment  3/ 9, fail:	599.766	1108.39
Length   15/3, alignment  3/15, found:	582.688	1043.3
Length   15/3, alignment  3/15, fail:	599.766	1115.72
Length   15/3, alignment  9/ 0, found:	573.719	1052.25
Length   15/3, alignment  9/ 0, fail:	607.906	1131.17
Length   15/3, alignment  9/ 3, found:	582.688	1043.28
Length   15/3, alignment  9/ 3, fail:	617.688	1121.42
Length   15/3, alignment  9/ 9, found:	572.906	1052.25
Length   15/3, alignment  9/ 9, fail:	609.547	1129.56
Length   15/3, alignment  9/15, found:	571.281	1051.44
Length   15/3, alignment  9/15, fail:	617.672	1123.05
Length   15/3, alignment 15/ 0, found:	572.906	1044.11
Length   15/3, alignment 15/ 0, fail:	599.781	1115.72
Length   15/3, alignment 15/ 3, found:	572.922	1053.06
Length   15/3, alignment 15/ 3, fail:	599.766	1105.97
Length   15/3, alignment 15/ 9, found:	581.859	1044.92
Length   15/3, alignment 15/ 9, fail:	600.578	1116.53
Length   15/3, alignment 15/15, found:	573.734	1051.42
Length   15/3, alignment 15/15, fail:	601.406	1106.77
Length   18/3, alignment  0/ 0, found:	594.891	1066.08
Length   18/3, alignment  0/ 0, fail:	612.797	1132.81
Length   18/3, alignment  0/ 3, found:	586.766	1073.41
Length   18/3, alignment  0/ 3, fail:	612.781	1133.62
Length   18/3, alignment  0/ 9, found:	595.703	1064.45
Length   18/3, alignment  0/ 9, fail:	620.938	1127.12
Length   18/3, alignment  0/15, found:	586.75	1072.59
Length   18/3, alignment  0/15, fail:	612.797	1132.81
Length   18/3, alignment  3/ 0, found:	595.703	1074.22
Length   18/3, alignment  3/ 0, fail:	611.984	1107.58
Length   18/3, alignment  3/ 3, found:	596.531	1083.17
Length   18/3, alignment  3/ 3, fail:	603.844	1114.92
Length   18/3, alignment  3/ 9, found:	595.703	1085.61
Length   18/3, alignment  3/ 9, fail:	611.172	1106.77
Length   18/3, alignment  3/15, found:	605.469	1074.22
Length   18/3, alignment  3/15, fail:	603.016	1115.73
Length   18/3, alignment  9/ 0, found:	586.75	1074.22
Length   18/3, alignment  9/ 0, fail:	611.984	1130.36
Length   18/3, alignment  9/ 3, found:	594.078	1064.45
Length   18/3, alignment  9/ 3, fail:	614.422	1130.38
Length   18/3, alignment  9/ 9, found:	587.562	1072.59
Length   18/3, alignment  9/ 9, fail:	611.984	1128.73
Length   18/3, alignment  9/15, found:	593.25	1065.27
Length   18/3, alignment  9/15, fail:	620.938	1121.42
Length   18/3, alignment 15/ 0, found:	595.703	1094.56
Length   18/3, alignment 15/ 0, fail:	603.844	1118.16
Length   18/3, alignment 15/ 3, found:	596.516	1073.41
Length   18/3, alignment 15/ 3, fail:	614.422	1109.22
Length   18/3, alignment 15/ 9, found:	595.703	1083.17
Length   18/3, alignment 15/ 9, fail:	603.016	1117.34
Length   18/3, alignment 15/15, found:	595.703	1073.41
Length   18/3, alignment 15/15, fail:	612.797	1107.59
Length   21/3, alignment  0/ 0, found:	594.062	1089.67
Length   21/3, alignment  0/ 0, fail:	617.672	1138.5
Length   21/3, alignment  0/ 3, found:	594.891	1088.86
Length   21/3, alignment  0/ 3, fail:	623.375	1129.56
Length   21/3, alignment  0/ 9, found:	604.656	1079.91
Length   21/3, alignment  0/ 9, fail:	616.047	1137.7
Length   21/3, alignment  0/15, found:	595.703	1090.5
Length   21/3, alignment  0/15, fail:	616.047	1128.75
Length   21/3, alignment  3/ 0, found:	612.781	1089.67
Length   21/3, alignment  3/ 0, fail:	606.281	1119.8
Length   21/3, alignment  3/ 3, found:	605.469	1098.62
Length   21/3, alignment  3/ 3, fail:	606.281	1119.8
Length   21/3, alignment  3/ 9, found:	612.781	1090.48
Length   21/3, alignment  3/ 9, fail:	607.109	1119.78
Length   21/3, alignment  3/15, found:	604.656	1097.83
Length   21/3, alignment  3/15, fail:	607.094	1119.8
Length   21/3, alignment  9/ 0, found:	603.844	1080.73
Length   21/3, alignment  9/ 0, fail:	625	1126.3
Length   21/3, alignment  9/ 3, found:	594.891	1088.05
Length   21/3, alignment  9/ 3, fail:	616.859	1136.06
Length   21/3, alignment  9/ 9, found:	595.703	1080.73
Length   21/3, alignment  9/ 9, fail:	626.625	1127.12
Length   21/3, alignment  9/15, found:	595.703	1088.88
Length   21/3, alignment  9/15, fail:	616.859	1137.7
Length   21/3, alignment 15/ 0, found:	603.844	1103.52
Length   21/3, alignment 15/ 0, fail:	615.234	1112.47
Length   21/3, alignment 15/ 3, found:	603.828	1112.47
Length   21/3, alignment 15/ 3, fail:	607.094	1120.61
Length   21/3, alignment 15/ 9, found:	603.844	1111.64
Length   21/3, alignment 15/ 9, fail:	615.234	1112.47
Length   21/3, alignment 15/15, found:	605.469	1113.28
Length   21/3, alignment 15/15, fail:	608.719	1119.8
Length   24/3, alignment  0/ 0, found:	603.844	1109.2
Length   24/3, alignment  0/ 0, fail:	625	1130.38
Length   24/3, alignment  0/ 3, found:	604.656	1117.36
Length   24/3, alignment  0/ 3, fail:	616.859	1137.69
Length   24/3, alignment  0/ 9, found:	604.656	1117.34
Length   24/3, alignment  0/ 9, fail:	625	1129.55
Length   24/3, alignment  0/15, found:	603.844	1118.98
Length   24/3, alignment  0/15, fail:	616.875	1138.5
Length   24/3, alignment  3/ 0, found:	603.031	1118.17
Length   24/3, alignment  3/ 0, fail:	616.859	1110.84
Length   24/3, alignment  3/ 3, found:	603.844	1117.36
Length   24/3, alignment  3/ 3, fail:	608.734	1123.05
Length   24/3, alignment  3/ 9, found:	603.844	1130.36
Length   24/3, alignment  3/ 9, fail:	617.672	1112.47
Length   24/3, alignment  3/15, found:	613.609	1110.03
Length   24/3, alignment  3/15, fail:	607.906	1119.8
Length   24/3, alignment  9/ 0, found:	603.031	1117.34
Length   24/3, alignment  9/ 0, fail:	616.859	1127.11
Length   24/3, alignment  9/ 3, found:	611.984	1109.22
Length   24/3, alignment  9/ 3, fail:	616.859	1136.08
Length   24/3, alignment  9/ 9, found:	603.844	1116.55
Length   24/3, alignment  9/ 9, fail:	617.672	1127.92
Length   24/3, alignment  9/15, found:	612.797	1110.83
Length   24/3, alignment  9/15, fail:	617.672	1135.25
Length   24/3, alignment 15/ 0, found:	603.844	1110.83
Length   24/3, alignment 15/ 0, fail:	607.922	1113.28
Length   24/3, alignment 15/ 3, found:	612.781	1104.34
Length   24/3, alignment 15/ 3, fail:	607.906	1121.42
Length   24/3, alignment 15/ 9, found:	604.641	1111.64
Length   24/3, alignment 15/ 9, fail:	609.531	1122.23
Length   24/3, alignment 15/15, found:	612.781	1103.52
Length   24/3, alignment 15/15, fail:	607.906	1120.59
Length   27/3, alignment  0/ 0, found:	604.656	1125.48
Length   27/3, alignment  0/ 0, fail:	617.672	1137.7
Length   27/3, alignment  0/ 3, found:	612.797	1115.73
Length   27/3, alignment  0/ 3, fail:	624.188	1129.56
Length   27/3, alignment  0/ 9, found:	604.656	1124.67
Length   27/3, alignment  0/ 9, fail:	616.859	1136.88
Length   27/3, alignment  0/15, found:	614.422	1116.53
Length   27/3, alignment  0/15, fail:	617.688	1138.5
Length   27/3, alignment  3/ 0, found:	614.422	1139.31
Length   27/3, alignment  3/ 0, fail:	607.922	1121.42
Length   27/3, alignment  3/ 3, found:	620.922	1130.38
Length   27/3, alignment  3/ 3, fail:	608.734	1120.61
Length   27/3, alignment  3/ 9, found:	612.797	1138.52
Length   27/3, alignment  3/ 9, fail:	607.906	1123.05
Length   27/3, alignment  3/15, found:	622.562	1131.19
Length   27/3, alignment  3/15, fail:	607.109	1120.61
Length   27/3, alignment  9/ 0, found:	613.609	1144.2
Length   27/3, alignment  9/ 0, fail:	617.672	1135.25
Length   27/3, alignment  9/ 3, found:	622.562	1135.25
Length   27/3, alignment  9/ 3, fail:	617.672	1136.06
Length   27/3, alignment  9/ 9, found:	612.797	1142.58
Length   27/3, alignment  9/ 9, fail:	617.688	1134.44
Length   27/3, alignment  9/15, found:	621.75	1135.25
Length   27/3, alignment  9/15, fail:	616.859	1136.06
Length   27/3, alignment 15/ 0, found:	613.609	1120.59
Length   27/3, alignment 15/ 0, fail:	607.906	1120.61
Length   27/3, alignment 15/ 3, found:	621.75	1113.28
Length   27/3, alignment 15/ 3, fail:	616.859	1114.91
Length   27/3, alignment 15/ 9, found:	614.422	1121.42
Length   27/3, alignment 15/ 9, fail:	608.719	1122.23
Length   27/3, alignment 15/15, found:	850.422	1114.09
Length   27/3, alignment 15/15, fail:	607.094	1134.44
Length   30/3, alignment  0/ 0, found:	612.781	1147.45
Length   30/3, alignment  0/ 0, fail:	616.859	1129.55
Length   30/3, alignment  0/ 3, found:	621.75	1137.7
Length   30/3, alignment  0/ 3, fail:	616.859	1136.89
Length   30/3, alignment  0/ 9, found:	612.797	1146.64
Length   30/3, alignment  0/ 9, fail:	616.047	1129.56
Length   30/3, alignment  0/15, found:	622.562	1137.69
Length   30/3, alignment  0/15, fail:	617.672	1137.69
Length   30/3, alignment  3/ 0, found:	621.75	1147.45
Length   30/3, alignment  3/ 0, fail:	608.719	1107.58
Length   30/3, alignment  3/ 3, found:	632.328	1139.31
Length   30/3, alignment  3/ 3, fail:	607.906	1122.23
Length   30/3, alignment  3/ 9, found:	621.75	1146.64
Length   30/3, alignment  3/ 9, fail:	607.109	1113.28
Length   30/3, alignment  3/15, found:	629.891	1138.52
Length   30/3, alignment  3/15, fail:	607.906	1120.61
Length   30/3, alignment  9/ 0, found:	613.609	1142.58
Length   30/3, alignment  9/ 0, fail:	617.672	1127.12
Length   30/3, alignment  9/ 3, found:	620.125	1134.44
Length   30/3, alignment  9/ 3, fail:	616.859	1136.08
Length   30/3, alignment  9/ 9, found:	612.797	1142.58
Length   30/3, alignment  9/ 9, fail:	616.859	1127.94
Length   30/3, alignment  9/15, found:	620.938	1134.44
Length   30/3, alignment  9/15, fail:	617.672	1136.06
Length   30/3, alignment 15/ 0, found:	625.812	1136.06
Length   30/3, alignment 15/ 0, fail:	608.719	1113.28
Length   30/3, alignment 15/ 3, found:	632.312	1126.31
Length   30/3, alignment 15/ 3, fail:	608.734	1123.05
Length   30/3, alignment 15/ 9, found:	623.375	1135.25
Length   30/3, alignment 15/ 9, fail:	609.547	1113.28
Length   30/3, alignment 15/15, found:	630.688	1126.3
Length   30/3, alignment 15/15, fail:	609.531	1123.05
Length   33/3, alignment  0/ 0, found:	623.375	1157.23
Length   33/3, alignment  0/ 0, fail:	616.875	1128.75
Length   33/3, alignment  0/ 3, found:	632.328	1146.64
Length   33/3, alignment  0/ 3, fail:	616.047	1137.7
Length   33/3, alignment  0/ 9, found:	622.562	1154.78
Length   33/3, alignment  0/ 9, fail:	617.672	1127.94
Length   33/3, alignment  0/15, found:	642.906	1147.47
Length   33/3, alignment  0/15, fail:	617.672	1136.88
Length   33/3, alignment  3/ 0, found:	632.328	1162.11
Length   33/3, alignment  3/ 0, fail:	608.719	1110.84
Length   33/3, alignment  3/ 3, found:	640.469	1153.16
Length   33/3, alignment  3/ 3, fail:	607.906	1120.61
Length   33/3, alignment  3/ 9, found:	632.328	1162.11
Length   33/3, alignment  3/ 9, fail:	609.531	1114.09
Length   33/3, alignment  3/15, found:	640.453	1152.34
Length   33/3, alignment  3/15, fail:	607.922	1121.42
Length   33/3, alignment  9/ 0, found:	622.547	1151.53
Length   33/3, alignment  9/ 0, fail:	617.672	1124.67
Length   33/3, alignment  9/ 3, found:	628.25	1165.36
Length   33/3, alignment  9/ 3, fail:	617.672	1137.69
Length   33/3, alignment  9/ 9, found:	623.359	1153.16
Length   33/3, alignment  9/ 9, fail:	626.625	1126.3
Length   33/3, alignment  9/15, found:	622.562	1150.72
Length   33/3, alignment  9/15, fail:	618.484	1134.44
Length   33/3, alignment 15/ 0, found:	633.141	1135.25
Length   33/3, alignment 15/ 0, fail:	616.047	1112.47
Length   33/3, alignment 15/ 3, found:	632.328	1143.39
Length   33/3, alignment 15/ 3, fail:	608.719	1197.92
Length   33/3, alignment 15/ 9, found:	634.766	1146.64
Length   33/3, alignment 15/ 9, fail:	822.766	1114.09
Length   33/3, alignment 15/15, found:	633.141	1142.58
Length   33/3, alignment 15/15, fail:	609.531	1123.86
Length   36/3, alignment  0/ 0, found:	639.641	1161.3
Length   36/3, alignment  0/ 0, fail:	634.766	1133.62
Length   36/3, alignment  0/ 3, found:	631.516	1170.23
Length   36/3, alignment  0/ 3, fail:	625.828	1143.39
Length   36/3, alignment  0/ 9, found:	642.094	1160.48
Length   36/3, alignment  0/ 9, fail:	625	1143.39
Length   36/3, alignment  0/15, found:	632.328	1170.23
Length   36/3, alignment  0/15, fail:	625.812	1142.58
Length   36/3, alignment  3/ 0, found:	639.656	1152.34
Length   36/3, alignment  3/ 0, fail:	616.047	1126.3
Length   36/3, alignment  3/ 3, found:	630.703	1162.92
Length   36/3, alignment  3/ 3, fail:	616.859	1118.16
Length   36/3, alignment  3/ 9, found:	642.078	1153.16
Length   36/3, alignment  3/ 9, fail:	618.5	1126.31
Length   36/3, alignment  3/15, found:	630.688	1162.11
Length   36/3, alignment  3/15, fail:	616.859	1117.34
Length   36/3, alignment  9/ 0, found:	640.469	1158.86
Length   36/3, alignment  9/ 0, fail:	626.625	1140.14
Length   36/3, alignment  9/ 3, found:	632.328	1169.42
Length   36/3, alignment  9/ 3, fail:	633.141	1131.19
Length   36/3, alignment  9/ 9, found:	642.078	1158.03
Length   36/3, alignment  9/ 9, fail:	625	1140.14
Length   36/3, alignment  9/15, found:	631.516	1166.17
Length   36/3, alignment  9/15, fail:	633.953	1132.81
Length   36/3, alignment 15/ 0, found:	639.641	1144.2
Length   36/3, alignment 15/ 0, fail:	617.672	1123.86
Length   36/3, alignment 15/ 3, found:	631.516	1144.2
Length   36/3, alignment 15/ 3, fail:	625	1118.98
Length   36/3, alignment 15/ 9, found:	633.125	1144.2
Length   36/3, alignment 15/ 9, fail:	616.859	1126.3
Length   36/3, alignment 15/15, found:	631.516	1142.58
Length   36/3, alignment 15/15, fail:	626.641	1118.98
Length   39/3, alignment  0/ 0, found:	631.516	1167.8
Length   39/3, alignment  0/ 0, fail:	626.625	1143.39
Length   39/3, alignment  0/ 3, found:	632.328	1169.44
Length   39/3, alignment  0/ 3, fail:	634.766	1134.44
Length   39/3, alignment  0/ 9, found:	630.703	1180.02
Length   39/3, alignment  0/ 9, fail:	625.812	1145.83
Length   39/3, alignment  0/15, found:	633.141	1160.48
Length   39/3, alignment  0/15, fail:	636.406	1131.19
Length   39/3, alignment  3/ 0, found:	641.281	1171.88
Length   39/3, alignment  3/ 0, fail:	617.672	1124.67
Length   39/3, alignment  3/ 3, found:	651.047	1161.3
Length   39/3, alignment  3/ 3, fail:	625.812	1117.36
Length   39/3, alignment  3/ 9, found:	642.094	1171.88
Length   39/3, alignment  3/ 9, fail:	617.688	1126.3
Length   39/3, alignment  3/15, found:	651.031	1161.3
Length   39/3, alignment  3/15, fail:	616.859	1126.3
Length   39/3, alignment  9/ 0, found:	640.469	1175.94
Length   39/3, alignment  9/ 0, fail:	627.453	1140.14
Length   39/3, alignment  9/ 3, found:	651.859	1166.98
Length   39/3, alignment  9/ 3, fail:	626.641	1140.95
Length   39/3, alignment  9/ 9, found:	639.641	1175.94
Length   39/3, alignment  9/ 9, fail:	625.812	1132
Length   39/3, alignment  9/15, found:	649.422	1167.81
Length   39/3, alignment  9/15, fail:	625.812	1140.95
Length   39/3, alignment 15/ 0, found:	641.281	1159.67
Length   39/3, alignment 15/ 0, fail:	626.641	1119.8
Length   39/3, alignment 15/ 3, found:	650.219	1148.27
Length   39/3, alignment 15/ 3, fail:	617.672	1127.11
Length   39/3, alignment 15/ 9, found:	640.469	1341.97
