                       	oldstrsep	strsep	simple_strsep
Length   28/4, alignment  0/ 3, fail:	373.531	362.953	567.219
Length   28/4, alignment  0/ 9, found:	335.281	324.703	325.516
Length   28/4, alignment  0/ 9, fail:	373.547	363.766	568.031
Length   28/4, alignment  0/15, found:	334.469	324.703	326.344
Length   28/4, alignment  0/15, fail:	373.531	362.953	568.047
Length   28/4, alignment  3/ 0, found:	345.047	334.469	327.141
Length   28/4, alignment  3/ 0, fail:	373.531	362.969	568.031
Length   28/4, alignment  3/ 3, found:	343.438	332.844	326.344
Length   28/4, alignment  3/ 3, fail:	373.531	362.969	568.031
Length   28/4, alignment  3/ 9, found:	345.062	334.469	327.953
Length   28/4, alignment  3/ 9, fail:	373.547	362.953	568.031
Length   28/4, alignment  3/15, found:	344.234	333.656	327.156
Length   28/4, alignment  3/15, fail:	372.734	362.953	567.219
Length   28/4, alignment  9/ 0, found:	335.297	324.703	327.156
Length   28/4, alignment  9/ 0, fail:	374.359	362.953	568.844
Length   28/4, alignment  9/ 3, found:	335.297	324.703	327.141
Length   28/4, alignment  9/ 3, fail:	374.344	362.953	568.031
Length   28/4, alignment  9/ 9, found:	335.281	323.891	327.141
Length   28/4, alignment  9/ 9, fail:	372.719	362.141	568.031
Length   28/4, alignment  9/15, found:	334.484	324.703	327.156
Length   28/4, alignment  9/15, fail:	375.156	362.141	567.219
Length   28/4, alignment 15/ 0, found:	343.422	333.656	327.953
Length   28/4, alignment 15/ 0, fail:	372.719	362.953	568.047
Length   28/4, alignment 15/ 3, found:	344.25	333.656	327.156
Length   28/4, alignment 15/ 3, fail:	373.531	362.969	568.844
Length   28/4, alignment 15/ 9, found:	343.422	332.844	327.953
Length   28/4, alignment 15/ 9, fail:	374.344	362.953	568.844
Length   28/4, alignment 15/15, found:	344.234	333.656	327.969
Length   28/4, alignment 15/15, fail:	373.547	363.766	568.844
Length   20/5, alignment  0/ 0, found:	329.578	319.016	295.422
Length   20/5, alignment  0/ 0, fail:	360.516	349.109	498.047
Length   20/5, alignment  0/ 3, found:	328.781	319.828	296.234
Length   20/5, alignment  0/ 3, fail:	359.703	349.109	494.781
Length   20/5, alignment  0/ 9, found:	329.594	320.641	294.594
Length   20/5, alignment  0/ 9, fail:	358.062	348.312	497.234
Length   20/5, alignment  0/15, found:	329.594	319.812	293.781
Length   20/5, alignment  0/15, fail:	358.891	349.938	496.422
Length   20/5, alignment  3/ 0, found:	339.359	330.406	293.781
Length   20/5, alignment  3/ 0, fail:	511.062	349.922	497.234
Length   20/5, alignment  3/ 3, found:	340.172	329.594	292.969
Length   20/5, alignment  3/ 3, fail:	360.516	349.938	495.609
Length   20/5, alignment  3/ 9, found:	338.547	329.578	292.969
Length   20/5, alignment  3/ 9, fail:	358.891	349.125	497.234
Length   20/5, alignment  3/15, found:	338.547	330.406	294.594
Length   20/5, alignment  3/15, fail:	359.688	349.125	496.422
Length   20/5, alignment  9/ 0, found:	330.406	320.641	292.969
Length   20/5, alignment  9/ 0, fail:	358.891	348.312	498.047
Length   20/5, alignment  9/ 3, found:	329.594	319.828	293.781
Length   20/5, alignment  9/ 3, fail:	359.703	348.297	496.422
Length   20/5, alignment  9/ 9, found:	329.594	319.016	293.781
Length   20/5, alignment  9/ 9, fail:	358.078	349.109	495.609
Length   20/5, alignment  9/15, found:	330.406	319	293.781
Length   20/5, alignment  9/15, fail:	359.688	349.938	496.406
Length   20/5, alignment 15/ 0, found:	338.547	329.578	294.609
Length   20/5, alignment 15/ 0, fail:	358.891	349.125	497.234
Length   20/5, alignment 15/ 3, found:	338.547	329.578	293.781
Length   20/5, alignment 15/ 3, fail:	359.703	349.938	496.422
Length   20/5, alignment 15/ 9, found:	339.359	329.594	293.781
Length   20/5, alignment 15/ 9, fail:	358.875	348.297	496.422
Length   20/5, alignment 15/15, found:	339.359	329.578	292.969
Length   20/5, alignment 15/15, fail:	358.875	347.484	495.609
Length   25/5, alignment  0/ 0, found:	338.547	328.766	335.281
Length   25/5, alignment  0/ 0, fail:	368.656	359.688	601.391
Length   25/5, alignment  0/ 3, found:	338.547	328.766	335.281
Length   25/5, alignment  0/ 3, fail:	367.844	357.25	599.781
Length   25/5, alignment  0/ 9, found:	337.734	327.953	335.297
Length   25/5, alignment  0/ 9, fail:	367.828	358.891	599.781
Length   25/5, alignment  0/15, found:	338.531	330.406	335.281
Length   25/5, alignment  0/15, fail:	367.844	358.078	600.594
Length   25/5, alignment  3/ 0, found:	338.547	328.766	334.469
Length   25/5, alignment  3/ 0, fail:	377.594	367.031	601.406
Length   25/5, alignment  3/ 3, found:	339.359	328.781	334.469
Length   25/5, alignment  3/ 3, fail:	375.984	367.016	600.578
Length   25/5, alignment  3/ 9, found:	339.344	328.781	334.469
Length   25/5, alignment  3/ 9, fail:	376.797	367.016	600.578
Length   25/5, alignment  3/15, found:	338.531	329.594	335.297
Length   25/5, alignment  3/15, fail:	376.781	367.844	599.781
Length   25/5, alignment  9/ 0, found:	338.531	328.781	336.109
Length   25/5, alignment  9/ 0, fail:	368.641	358.891	599.781
