                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   87/29, alignment 15/ 0, found:	1826.98	3133.94	2625.33
Length   87/29, alignment 15/ 0, fail:	2033.69	3330.89	2696.12
Length   87/29, alignment 15/ 3, found:	1827.81	3137.2	2622.06
Length   87/29, alignment 15/ 3, fail:	2039.39	3330.89	2685.55
Length   87/29, alignment 15/ 9, found:	1848.95	3135.58	2622.08
Length   87/29, alignment 15/ 9, fail:	2036.95	3330.89	2686.36
Length   87/29, alignment 15/15, found:	1825.34	3138.83	2600.91
Length   87/29, alignment 15/15, fail:	2036.94	3331.7	2659.52
Length  116/29, alignment  0/ 0, found:	2089.03	3382.17	3710.94
Length  116/29, alignment  0/ 0, fail:	2530.92	3629.56	3966.47
Length  116/29, alignment  0/ 3, found:	2089.03	3344.73	3707.67
Length  116/29, alignment  0/ 3, fail:	2348.62	3634.44	3910.31
Length  116/29, alignment  0/ 9, found:	2069.5	3376.47	3708.5
Length  116/29, alignment  0/ 9, fail:	2344.56	3658.86	3964.03
Length  116/29, alignment  0/15, found:	2067.05	3377.28	3706.88
Length  116/29, alignment  0/15, fail:	2347.02	3631.19	3915.2
Length  116/29, alignment  3/ 0, found:	2068.69	3381.34	3703.61
Length  116/29, alignment  3/ 0, fail:	2352.7	3635.25	3961.59
Length  116/29, alignment  3/ 3, found:	2091.47	3377.28	3701.17
Length  116/29, alignment  3/ 3, fail:	2376.3	3632	3902.17
Length  116/29, alignment  3/ 9, found:	2089.84	3377.28	3701.17
Length  116/29, alignment  3/ 9, fail:	2352.69	3634.44	3959.16
Length  116/29, alignment  3/15, found:	2085.78	3374.84	3699.53
Length  116/29, alignment  3/15, fail:	2362.47	3654.78	3911.95
Length  116/29, alignment  9/ 0, found:	2070.31	3368.33	3708.5
Length  116/29, alignment  9/ 0, fail:	2331.55	3636.88	3972.17
Length  116/29, alignment  9/ 3, found:	2089.84	3377.28	3706.05
Length  116/29, alignment  9/ 3, fail:	2334.8	3635.25	3918.45
Length  116/29, alignment  9/ 9, found:	2092.28	3378.09	3705.23
Length  116/29, alignment  9/ 9, fail:	2329.09	3627.92	3966.47
Length  116/29, alignment  9/15, found:	2089.84	3379.72	3704.42
Length  116/29, alignment  9/15, fail:	2331.55	3631.19	3913.58
Length  116/29, alignment 15/ 0, found:	2066.23	3376.47	3705.23
Length  116/29, alignment 15/ 0, fail:	2382.81	3627.94	3938.81
Length  116/29, alignment 15/ 3, found:	2089.84	3380.55	3701.17
Length  116/29, alignment 15/ 3, fail:	2351.08	3631.19	3942.88
Length  116/29, alignment 15/ 9, found:	2090.66	3378.09	3702.8
Length  116/29, alignment 15/ 9, fail:	2357.58	3632.81	3939.61
Length  116/29, alignment 15/15, found:	2089.03	3378.91	3850.92
Length  116/29, alignment 15/15, fail:	2379.56	3628.73	3898.92
Length  145/29, alignment  0/ 0, found:	2331.55	3589.69	4790.86
Length  145/29, alignment  0/ 0, fail:	2841.8	4091.8	5146.48
Length  145/29, alignment  0/ 3, found:	2330.72	3613.28	4788.41
Length  145/29, alignment  0/ 3, fail:	2841.8	4117.84	5149.73
Length  145/29, alignment  0/ 9, found:	2333.17	3586.42	4787.61
Length  145/29, alignment  0/ 9, fail:	2840.17	4094.25	5140.78
Length  145/29, alignment  0/15, found:	2331.55	3611.66	4777.02
Length  145/29, alignment  0/15, fail:	2841.8	4117.02	5134.28
Length  145/29, alignment  3/ 0, found:	2331.55	3617.34	4783.53
Length  145/29, alignment  3/ 0, fail:	2819.83	4087.73	5138.34
Length  145/29, alignment  3/ 3, found:	2336.42	3618.17	4781.09
Length  145/29, alignment  3/ 3, fail:	2814.95	4088.55	5310.06
Length  145/29, alignment  3/ 9, found:	2333.16	3590.5	4781.91
Length  145/29, alignment  3/ 9, fail:	2815.75	4074.72	5138.34
Length  145/29, alignment  3/15, found:	2332.36	3615.73	4778.64
Length  145/29, alignment  3/15, fail:	2817.39	4087.73	5125.33
Length  145/29, alignment  9/ 0, found:	2331.55	3617.36	4790.03
Length  145/29, alignment  9/ 0, fail:	2811.69	4121.09	5144.86
Length  145/29, alignment  9/ 3, found:	2330.73	3618.17	4785.97
Length  145/29, alignment  9/ 3, fail:	2795.42	4107.27	5140.78
Length  145/29, alignment  9/ 9, found:	2331.55	3620.61	4786.78
Length  145/29, alignment  9/ 9, fail:	2798.67	4107.25	5142.42
Length  145/29, alignment  9/15, found:	2330.73	3620.61	4774.58
Length  145/29, alignment  9/15, fail:	2798.67	4106.45	5132.64
Length  145/29, alignment 15/ 0, found:	2333.17	3974.61	4787.61
Length  145/29, alignment 15/ 0, fail:	2814.95	4088.55	5170.91
Length  145/29, alignment 15/ 3, found:	2331.55	3587.25	4780.27
Length  145/29, alignment 15/ 3, fail:	2818.2	4072.27	5135.91
Length  145/29, alignment 15/ 9, found:	2330.73	3616.53	4783.53
Length  145/29, alignment 15/ 9, fail:	2816.58	4089.36	5167.64
Length  145/29, alignment 15/15, found:	2332.36	3618.16	4761.55
Length  145/29, alignment 15/15, fail:	2809.25	4092.61	5134.28
Length  174/29, alignment  0/ 0, found:	2546.39	3855.8	5866.7
Length  174/29, alignment  0/ 0, fail:	3282.88	4571.12	6435.55
Length  174/29, alignment  0/ 3, found:	2549.66	3858.23	5863.45
Length  174/29, alignment  0/ 3, fail:	3274.75	4543.47	6359.86
Length  174/29, alignment  0/ 9, found:	2549.64	4029.12	5865.08
Length  174/29, alignment  0/ 9, fail:	3281.25	4542.64	6365.56
Length  174/29, alignment  0/15, found:	2548.83	3855.8	5861.83
Length  174/29, alignment  0/15, fail:	3274.75	4583.33	6373.7
Length  174/29, alignment  3/ 0, found:	2548.02	3829.75	5862.64
Length  174/29, alignment  3/ 0, fail:	3276.36	4531.25	6423.34
Length  174/29, alignment  3/ 3, found:	2552.09	3858.23	5858.56
Length  174/29, alignment  3/ 3, fail:	3273.11	4564.62	6359.86
Length  174/29, alignment  3/ 9, found:	2568.36	3859.86	5861.81
Length  174/29, alignment  3/ 9, fail:	3276.38	4556.47	6361.48
Length  174/29, alignment  3/15, found:	2552.08	3857.42	5859.38
Length  174/29, alignment  3/15, fail:	3276.36	4735.52	6350.91
Length  174/29, alignment  9/ 0, found:	2548.83	3856.61	5863.45
Length  174/29, alignment  9/ 0, fail:	3235.67	4571.94	6421.72
Length  174/29, alignment  9/ 3, found:	2574.06	3859.86	5861.81
Length  174/29, alignment  9/ 3, fail:	3260.09	4577.64	6353.36
Length  174/29, alignment  9/ 9, found:	2572.44	3861.48	5862.64
Length  174/29, alignment  9/ 9, fail:	3256.03	4576	6420.08
Length  174/29, alignment  9/15, found:	2570.8	3860.67	5858.56
Length  174/29, alignment  9/15, fail:	3259.28	4574.39	6365.56
Length  174/29, alignment 15/ 0, found:	2572.42	3860.67	5860.19
Length  174/29, alignment 15/ 0, fail:	3287.77	4567.06	6350.91
Length  174/29, alignment 15/ 3, found:	2576.5	3859.86	5858.56
Length  174/29, alignment 15/ 3, fail:	3288.56	4535.31	6350.09
Length  174/29, alignment 15/ 9, found:	2576.5	3859.88	5858.56
Length  174/29, alignment 15/ 9, fail:	3274.73	4568.69	6402.17
Length  174/29, alignment 15/15, found:	2551.27	3862.3	5834.97
Length  174/29, alignment 15/15, fail:	3275.55	4556.48	6409.5
Length  203/29, alignment  0/ 0, found:	2792.16	4102.38	6947.42
Length  203/29, alignment  0/ 0, fail:	3742.67	5026.03	7530.92
Length  203/29, alignment  0/ 3, found:	2793.78	4103.19	6943.36
Length  203/29, alignment  0/ 3, fail:	3744.31	5027.67	7530.11
Length  203/29, alignment  0/ 9, found:	2788.91	4101.56	7116.7
Length  203/29, alignment  0/ 9, fail:	3743.5	4995.94	7527.67
Length  203/29, alignment  0/15, found:	2792.16	4069.02	6941.72
Length  203/29, alignment  0/15, fail:	3738.61	4992.69	7518.72
Length  203/29, alignment  3/ 0, found:	2792.16	4073.89	6939.28
Length  203/29, alignment  3/ 0, fail:	3745.11	5006.5	7523.59
Length  203/29, alignment  3/ 3, found:	2808.44	4103.19	6936.03
Length  203/29, alignment  3/ 3, fail:	3743.48	5017.89	7501.62
Length  203/29, alignment  3/ 9, found:	2814.94	4103.19	6936.84
Length  203/29, alignment  3/ 9, fail:	3745.11	5009.77	7514.66
Length  203/29, alignment  3/15, found:	2815.77	4103.2	7102.06
Length  203/29, alignment  3/15, fail:	3742.67	4985.36	7516.27
Length  203/29, alignment  9/ 0, found:	2815.75	4070.62	6944.17
Length  203/29, alignment  9/ 0, fail:	3684.89	4977.22	7528.48
Length  203/29, alignment  9/ 3, found:	2815.75	4067.39	6941.73
Length  203/29, alignment  9/ 3, fail:	3681.64	4977.22	7502.44
Length  203/29, alignment  9/ 9, found:	2815.75	4077.95	6941.73
Length  203/29, alignment  9/ 9, fail:	3682.45	4976.39	7520.34
Length  203/29, alignment  9/15, found:	2797.05	4071.45	6938.47
Length  203/29, alignment  9/15, fail:	3658.84	4995.94	7515.47
Length  203/29, alignment 15/ 0, found:	2814.14	4274.09	6944.19
Length  203/29, alignment 15/ 0, fail:	3746.73	5068.36	7551.27
Length  203/29, alignment 15/ 3, found:	2816.56	4070.62	6938.48
Length  203/29, alignment 15/ 3, fail:	3742.67	5011.39	7547.2
Length  203/29, alignment 15/ 9, found:	2814.94	4103.19	6939.3
Length  203/29, alignment 15/ 9, fail:	3741.05	5009.77	7546.39
Length  203/29, alignment 15/15, found:	2814.94	4102.38	6918.14
Length  203/29, alignment 15/15, fail:	3741.86	5009.77	7493.48
Length  232/29, alignment  0/ 0, found:	3056.64	4344.08	8028.16
Length  232/29, alignment  0/ 0, fail:	4213.88	5465.48	8911.95
Length  232/29, alignment  0/ 3, found:	3058.27	4313.97	8023.28
Length  232/29, alignment  0/ 3, fail:	4199.22	5447.59	8758.95
Length  232/29, alignment  0/ 9, found:	3056.64	4344.89	8024.08
Length  232/29, alignment  0/ 9, fail:	4169.11	5467.94	8753.27
Length  232/29, alignment  0/15, found:	3032.22	4344.06	8022.45
Length  232/29, alignment  0/15, fail:	4168.3	5466.31	8746.75
Length  232/29, alignment  3/ 0, found:	3033.86	4342.44	8019.22
Length  232/29, alignment  3/ 0, fail:	4166.67	5441.09	8747.55
Length  232/29, alignment  3/ 3, found:	3053.38	4344.06	8182.78
Length  232/29, alignment  3/ 3, fail:	4165.86	5419.11	8736.97
Length  232/29, alignment  3/ 9, found:	3036.3	4340	8018.39
Length  232/29, alignment  3/ 9, fail:	4166.67	5423.17	8737.78
Length  232/29, alignment  3/15, found:	3030.59	4343.27	8013.5
Length  232/29, alignment  3/15, fail:	4161.78	5443.52	8740.23
Length  232/29, alignment  9/ 0, found:	3054.2	4344.06	8024.09
Length  232/29, alignment  9/ 0, fail:	4143.08	5475.27	8754.08
Length  232/29, alignment  9/ 3, found:	3032.22	4343.27	8021.66
Length  232/29, alignment  9/ 3, fail:	4128.42	5472.02	8911.12
Length  232/29, alignment  9/ 9, found:	3032.22	4313.97	8020.83
Length  232/29, alignment  9/ 9, fail:	4127.61	5474.44	8758.14
Length  232/29, alignment  9/15, found:	3033.86	4344.08	8020.02
Length  232/29, alignment  9/15, fail:	4129.23	5476.89	8737.8
Length  232/29, alignment 15/ 0, found:	3035.48	4344.08	8015.95
Length  232/29, alignment 15/ 0, fail:	4165.86	5445.95	8798.02
Length  232/29, alignment 15/ 3, found:	3055.02	4342.45	8014.31
Length  232/29, alignment 15/ 3, fail:	4163.41	5438.64	8733.72
Length  232/29, alignment 15/ 9, found:	3054.19	4504.39	8015.95
Length  232/29, alignment 15/ 9, fail:	4184.58	5447.59	8735.36
Length  232/29, alignment 15/15, found:	3032.23	4344.89	7992.34
Length  232/29, alignment 15/15, fail:	4191.08	5442.7	8724.78
Length  261/29, alignment  0/ 0, found:	3292.64	4585.78	9103.19
Length  261/29, alignment  0/ 0, fail:	4433.59	5748.7	10019.5
Length  261/29, alignment  0/ 3, found:	3273.92	4585.77	9099.11
Length  261/29, alignment  0/ 3, fail:	4449.06	5716.14	10017.1
Length  261/29, alignment  0/ 9, found:	3293.45	4584.14	9271.66
Length  261/29, alignment  0/ 9, fail:	4469.41	5703.12	9957.69
Length  261/29, alignment  0/15, found:	3298.34	4553.22	9094.25
Length  261/29, alignment  0/15, fail:	4467.77	5705.56	9952.81
Length  261/29, alignment  3/ 0, found:	3299.97	4584.95	9099.12
Length  261/29, alignment  3/ 0, fail:	4460.44	5696.61	9963.39
Length  261/29, alignment  3/ 3, found:	3299.16	4585.78	9095.88
Length  261/29, alignment  3/ 3, fail:	4459.64	5696.62	9953.62
Length  261/29, alignment  3/ 9, found:	3299.16	4584.14	9266.77
Length  261/29, alignment  3/ 9, fail:	4456.38	5697.44	10014.7
Length  261/29, alignment  3/15, found:	3297.52	4584.95	9095.05
Length  261/29, alignment  3/15, fail:	4457.2	5728.34	9949.55
Length  261/29, alignment  9/ 0, found:	3299.16	4587.41	9099.11
Length  261/29, alignment  9/ 0, fail:	4417.31	5715.33	9958.5
Length  261/29, alignment  9/ 3, found:	3301.59	4584.97	9095.88
Length  261/29, alignment  9/ 3, fail:	4392.09	5713.72	9951.17
Length  261/29, alignment  9/ 9, found:	3296.72	4585.78	9265.95
Length  261/29, alignment  9/ 9, fail:	4393.72	5703.94	9963.39
Length  261/29, alignment  9/15, found:	3300.78	4584.97	9086.09
Length  261/29, alignment  9/15, fail:	4392.91	5742.19	9948.73
Length  261/29, alignment 15/ 0, found:	3299.16	4589.02	9097.5
Length  261/29, alignment 15/ 0, fail:	4462.08	5695.8	10009.8
Length  261/29, alignment 15/ 3, found:	3302.41	4584.95	9093.42
Length  261/29, alignment 15/ 3, fail:	4456.39	5698.25	9967.45
Length  261/29, alignment 15/ 9, found:	3297.53	4586.59	9264.33
Length  261/29, alignment 15/ 9, fail:	4462.89	5687.66	9973.14
Length  261/29, alignment 15/15, found:	3297.52	4555.66	9071.45
Length  261/29, alignment 15/15, fail:	4458.02	5686.03	9914.56
Length  290/29, alignment  0/ 0, found:	3539.23	4794.92	10183.1
Length  290/29, alignment  0/ 0, fail:	4912.92	6167.81	11228.8
Length  290/29, alignment  0/ 3, found:	3539.23	4794.92	10179.8
Length  290/29, alignment  0/ 3, fail:	4912.92	6168.62	11189.8
Length  290/29, alignment  0/ 9, found:	3538.42	4969.08	10182.3
Length  290/29, alignment  0/ 9, fail:	4915.38	6161.3	11226.4
Length  290/29, alignment  0/15, found:	3539.23	4794.92	10176.6
Length  290/29, alignment  0/15, fail:	4910.48	6163.73	11192.2
Length  290/29, alignment  3/ 0, found:	3538.41	4798.98	10175
Length  290/29, alignment  3/ 0, fail:	4931.64	6177.58	11223.1
Length  290/29, alignment  3/ 3, found:	3539.22	4829.09	10171.7
Length  290/29, alignment  3/ 3, fail:	4934.08	6153.97	11470.5
Length  290/29, alignment  3/ 9, found:	3540.03	4829.91	10173.3
Length  290/29, alignment  3/ 9, fail:	4932.47	6151.53	11219.9
Length  290/29, alignment  3/15, found:	3542.48	4829.09	10170.9
Length  290/29, alignment  3/15, fail:	4933.27	6176.77	11186.5
Length  290/29, alignment  9/ 0, found:	3540.84	4826.66	10179
Length  290/29, alignment  9/ 0, fail:	4833.98	6189.78	11228.8
Length  290/29, alignment  9/ 3, found:	3540.84	4826.66	10176.6
Length  290/29, alignment  9/ 3, fail:	4853.52	6157.22	11223.1
Length  290/29, alignment  9/ 9, found:	3515.62	4825.84	10178.2
Length  290/29, alignment  9/ 9, fail:	4829.91	6192.22	11222.3
Length  290/29, alignment  9/15, found:	3515.62	4829.91	10175
Length  290/29, alignment  9/15, fail:	4829.92	6172.69	11214.2
Length  290/29, alignment 15/ 0, found:	3516.44	4826.67	10176.6
Length  290/29, alignment 15/ 0, fail:	4919.44	6155.59	11224.8
Length  290/29, alignment 15/ 3, found:	3540.03	4976.41	10175
Length  290/29, alignment 15/ 3, fail:	4928.39	6153.98	11192.2
Length  290/29, alignment 15/ 9, found:	3537.59	4826.67	10174.2
Length  290/29, alignment 15/ 9, fail:	4930.83	6178.38	11221.5
Length  290/29, alignment 15/15, found:	3539.23	4825.03	10152.2
Length  290/29, alignment 15/15, fail:	4930.02	6156.41	11167
Length  319/29, alignment  0/ 0, found:	3783.38	5069.17	11257.3
Length  319/29, alignment  0/ 0, fail:	5377.61	6824.53	12421.1
Length  319/29, alignment  0/ 3, found:	3758.95	5068.36	11254.9
Length  319/29, alignment  0/ 3, fail:	5362.14	6648.77	12394.2
Length  319/29, alignment  0/ 9, found:	3757.33	5067.55	11256.5
Length  319/29, alignment  0/ 9, fail:	5380.05	6648.77	12414.6
Length  319/29, alignment  0/15, found:	3759.77	5067.55	11253.3
Length  319/29, alignment  0/15, fail:	5363.77	6645.5	12411.3
Length  319/29, alignment  3/ 0, found:	3929.84	5035.8	11257.3
Length  319/29, alignment  3/ 0, fail:	5389	6608.08	12404.8
Length  319/29, alignment  3/ 3, found:	3756.52	5066.73	11252.4
Length  319/29, alignment  3/ 3, fail:	5386.56	6639	12402.3
Length  319/29, alignment  3/ 9, found:	3757.33	5066.73	11253.2
Length  319/29, alignment  3/ 9, fail:	5386.56	6623.53	12403.2
Length  319/29, alignment  3/15, found:	3781.73	5068.36	11416.8
Length  319/29, alignment  3/15, fail:	5388.19	6608.08	12460.1
Length  319/29, alignment  9/ 0, found:	3779.3	5068.36	11261.4
Length  319/29, alignment  9/ 0, fail:	5265.3	6625.17	12420.2
Length  319/29, alignment  9/ 3, found:	3777.67	5067.55	11257.3
Length  319/29, alignment  9/ 3, fail:	5265.3	6606.45	12396.7
Length  319/29, alignment  9/ 9, found:	3759.77	5067.55	11256.5
Length  319/29, alignment  9/ 9, fail:	5266.11	6621.91	12587.1
Length  319/29, alignment  9/15, found:	3758.95	5038.25	11254.9
Length  319/29, alignment  9/15, fail:	5266.11	6607.25	12383.6
Length  319/29, alignment 15/ 0, found:	3781.73	5064.28	11253.2
Length  319/29, alignment 15/ 0, fail:	5410.16	6639.81	12397.5
Length  319/29, alignment 15/ 3, found:	3780.11	5069.17	11251.6
Length  319/29, alignment 15/ 3, fail:	5385.75	6622.72	12403.2
Length  319/29, alignment 15/ 9, found:	3775.23	5238.44	11250.8
Length  319/29, alignment 15/ 9, fail:	5385.75	6610.52	12410.5
Length  319/29, alignment 15/15, found:	3758.95	5065.11	11229.7
Length  319/29, alignment 15/15, fail:	5384.92	6625.98	12396.7
Length  348/29, alignment  0/ 0, found:	3999.02	5311.69	12338.9
Length  348/29, alignment  0/ 0, fail:	5819.5	7097.17	13596.2
Length  348/29, alignment  0/ 3, found:	3998.2	5311.69	12472.3
Length  348/29, alignment  0/ 3, fail:	5821.94	7094.73	13592.9
Length  348/29, alignment  0/ 9, found:	4001.45	5284.02	12337.2
Length  348/29, alignment  0/ 9, fail:	5821.12	7068.69	13590.5
Length  348/29, alignment  0/15, found:	4001.47	5305.17	12330.7
Length  348/29, alignment  0/15, fail:	5817.06	7098.8	13582.4
Length  348/29, alignment  3/ 0, found:	3999.84	5310.88	12332.3
Length  348/29, alignment  3/ 0, fail:	6026.2	7066.23	13584.8
Length  348/29, alignment  3/ 3, found:	4002.28	5304.36	12326.7
Length  348/29, alignment  3/ 3, fail:	5856.11	7094.73	13586.4
Length  348/29, alignment  3/ 9, found:	4021.81	5309.25	12327.5
Length  348/29, alignment  3/ 9, fail:	5854.5	7102.05	13585.6
Length  348/29, alignment  3/15, found:	4001.47	5312.5	12325
Length  348/29, alignment  3/15, fail:	5855.3	7434.89	13577.5
Length  348/29, alignment  9/ 0, found:	3999.02	5307.61	12335.6
Length  348/29, alignment  9/ 0, fail:	5725.11	7093.92	13591.3
Length  348/29, alignment  9/ 3, found:	4021.8	5311.69	12332.4
Length  348/29, alignment  9/ 3, fail:	5718.58	7093.11	13554.7
Length  348/29, alignment  9/ 9, found:	4000.66	5310.88	12334
Length  348/29, alignment  9/ 9, fail:	5723.47	7081.7	13743.5
Length  348/29, alignment  9/15, found:	4016.92	5312.5	12321.8
Length  348/29, alignment  9/15, fail:	5717.78	7098.8	13577.5
Length  348/29, alignment 15/ 0, found:	4021.81	5310.05	12333.2
Length  348/29, alignment 15/ 0, fail:	5855.31	7100.42	13580.7
Length  348/29, alignment 15/ 3, found:	4018.56	5311.69	12330.7
Length  348/29, alignment 15/ 3, fail:	5854.5	7096.36	13712.6
Length  348/29, alignment 15/ 9, found:	4002.28	5307.61	12329.9
Length  348/29, alignment 15/ 9, fail:	5853.69	7093.91	13585.6
Length  348/29, alignment 15/15, found:	4001.47	5311.69	12307.1
Length  348/29, alignment 15/15, fail:	5856.12	7103.67	13536
Length  377/29, alignment  0/ 0, found:	4259.44	5554.2	13418.8
Length  377/29, alignment  0/ 0, fail:	6314.3	7547.2	15013.8
Length  377/29, alignment  0/ 3, found:	4264.31	5524.91	13414.7
Length  377/29, alignment  0/ 3, fail:	6274.41	7517.08	14849.5
Length  377/29, alignment  0/ 9, found:	4243.98	5553.39	13416.3
Length  377/29, alignment  0/ 9, fail:	6277.67	7544.77	14834.8
Length  377/29, alignment  0/15, found:	4257.81	5553.39	13413.1
Length  377/29, alignment  0/15, fail:	6313.47	7547.2	14982.9
Length  377/29, alignment  3/ 0, found:	4242.36	5548.52	13411.5
Length  377/29, alignment  3/ 0, fail:	6311.03	7526.05	14842.1
Length  377/29, alignment  3/ 3, found:	4242.34	5552.58	13406.6
Length  377/29, alignment  3/ 3, fail:	6279.3	7523.59	14842.9
Length  377/29, alignment  3/ 9, found:	4240.72	5551.77	13407.4
Length  377/29, alignment  3/ 9, fail:	6309.41	7524.42	14995.9
Length  377/29, alignment  3/15, found:	4241.53	5520.83	13406.6
Length  377/29, alignment  3/15, fail:	6309.42	7494.3	14809.6
Length  377/29, alignment  9/ 0, found:	4262.69	5523.27	13415.5
Length  377/29, alignment  9/ 0, fail:	6164.55	7517.91	14847
Length  377/29, alignment  9/ 3, found:	4239.91	5523.27	13412.3
Length  377/29, alignment  9/ 3, fail:	6184.08	7694.5	14838.9
Length  377/29, alignment  9/ 9, found:	4243.17	5551.77	13413.1
Length  377/29, alignment  9/ 9, fail:	6163.73	7543.94	14844.6
Length  377/29, alignment  9/15, found:	4263.52	5552.56	13410.6
Length  377/29, alignment  9/15, fail:	6162.92	7543.94	14840.5
Length  377/29, alignment 15/ 0, found:	4263.52	5552.58	13412.3
Length  377/29, alignment 15/ 0, fail:	6311.03	7672.53	14798.2
Length  377/29, alignment 15/ 3, found:	4240.72	5528.16	13409.8
Length  377/29, alignment 15/ 3, fail:	6280.11	7498.36	14836.4
Length  377/29, alignment 15/ 9, found:	4243.98	5550.12	13410.6
Length  377/29, alignment 15/ 9, fail:	6310.22	7523.59	14836.4
Length  377/29, alignment 15/15, found:	4240.73	5553.38	13388.7
Length  377/29, alignment 15/15, fail:	6480.31	7498.36	14768.1
Length  406/29, alignment  0/ 0, found:	4482.42	5760.09	14494.6
Length  406/29, alignment  0/ 0, fail:	6689.45	7934.56	16052.2
Length  406/29, alignment  0/ 3, found:	4484.05	5791.83	14491.4
Length  406/29, alignment  0/ 3, fail:	6691.08	7948.41	15993.7
Length  406/29, alignment  0/ 9, found:	4505.2	5792.66	14659
Length  406/29, alignment  0/ 9, fail:	6693.53	7933.75	16047.4
Length  406/29, alignment  0/15, found:	4505.2	5791.02	14486.5
Length  406/29, alignment  0/15, fail:	6692.72	7941.89	16071
Length  406/29, alignment  3/ 0, found:	4479.17	5794.28	14489.8
Length  406/29, alignment  3/ 0, fail:	6721.19	7928.88	16013.2
Length  406/29, alignment  3/ 3, found:	4507.66	5795.91	14487.3
Length  406/29, alignment  3/ 3, fail:	6703.28	7906.89	15996.1
Length  406/29, alignment  3/ 9, found:	4484.86	5793.45	14488.9
Length  406/29, alignment  3/ 9, fail:	6701.66	7928.05	16010.7
Length  406/29, alignment  3/15, found:	4484.86	5794.28	14486.5
Length  406/29, alignment  3/15, fail:	6701.66	7929.69	16234.5
Length  406/29, alignment  9/ 0, found:	4484.86	5794.27	14492.2
Length  406/29, alignment  9/ 0, fail:	6569.02	7942.7	16045.7
Length  406/29, alignment  9/ 3, found:	4479.97	5795.08	14487.3
Length  406/29, alignment  9/ 3, fail:	6567.38	7943.53	16045.7
Length  406/29, alignment  9/ 9, found:	4504.41	5793.45	14489.7
Length  406/29, alignment  9/ 9, fail:	6752.94	7927.23	16011.6
Length  406/29, alignment  9/15, found:	4505.22	5785.31	14486.5
Length  406/29, alignment  9/15, fail:	6570.62	7941.89	16071
Length  406/29, alignment 15/ 0, found:	4482.42	5795.09	14488.9
Length  406/29, alignment 15/ 0, fail:	6703.28	7926.42	16002.6
Length  406/29, alignment 15/ 3, found:	4481.61	5970.05	14487.3
Length  406/29, alignment 15/ 3, fail:	6703.3	7906.08	16024.6
Length  406/29, alignment 15/ 9, found:	4481.61	5792.64	14486.5
Length  406/29, alignment 15/ 9, fail:	6700.84	7928.06	16026.2
Length  406/29, alignment 15/15, found:	4482.42	5791.02	14465.3
Length  406/29, alignment 15/15, fail:	6703.28	7926.42	16162.9
Length  435/29, alignment  0/ 0, found:	4738.77	6004.23	15574.5
Length  435/29, alignment  0/ 0, fail:	7020.67	8238.92	17262.4
Length  435/29, alignment  0/ 3, found:	4747.72	6000.97	15570.5
Length  435/29, alignment  0/ 3, fail:	7020.67	8232.42	17229.8
Length  435/29, alignment  0/ 9, found:	4749.34	6034.34	15572.9
Length  435/29, alignment  0/ 9, fail:	7206.22	8244.62	17260.8
Length  435/29, alignment  0/15, found:	4748.53	6033.53	15568
Length  435/29, alignment  0/15, fail:	7019.86	8279.62	17255
Length  435/29, alignment  3/ 0, found:	4748.53	6035.97	15568
Length  435/29, alignment  3/ 0, fail:	7032.06	8234.05	17258.3
Length  435/29, alignment  3/ 3, found:	4918.61	6030.27	15564
Length  435/29, alignment  3/ 3, fail:	7032.06	8235.67	17220.9
Length  435/29, alignment  3/ 9, found:	4750.16	6033.53	15563.2
Length  435/29, alignment  3/ 9, fail:	7032.06	8269.03	17249.4
Length  435/29, alignment  3/15, found:	4749.36	6035.97	15560.7
Length  435/29, alignment  3/15, fail:	7032.88	8402.5	17249.3
Length  435/29, alignment  9/ 0, found:	4750.17	6003.42	15572.1
Length  435/29, alignment  9/ 0, fail:	6866.88	8222.66	17259.1
Length  435/29, alignment  9/ 3, found:	4751.78	6035.16	15568.8
Length  435/29, alignment  9/ 3, fail:	6862.78	8260.09	17225.8
Length  435/29, alignment  9/ 9, found:	4749.34	6035.16	15734
Length  435/29, alignment  9/ 9, fail:	6874.19	8270.67	17255.9
Length  435/29, alignment  9/15, found:	4749.34	6036.78	15557.5
Length  435/29, alignment  9/15, fail:	6871.73	8232.42	17228.2
Length  435/29, alignment 15/ 0, found:	4749.34	6035.16	15568
Length  435/29, alignment 15/ 0, fail:	7032.88	8234.86	17438.2
Length  435/29, alignment 15/ 3, found:	4750.97	6038.41	15565.6
Length  435/29, alignment 15/ 3, fail:	7029.62	8238.11	17334.8
Length  435/29, alignment 15/ 9, found:	4748.53	6035.97	15566.4
Length  435/29, alignment 15/ 9, fail:	7031.25	8235.67	17338.9
Length  435/29, alignment 15/15, found:	4724.94	6035.16	15712.1
Length  435/29, alignment 15/15, fail:	7034.5	8221.84	17206.2
Length   60/30, alignment  0/ 0, found:	1626.8	2958.98	1594.23
Length   60/30, alignment  0/ 0, fail:	1634.11	2976.08	1512.86
Length   60/30, alignment  0/ 3, found:	1627.61	2983.41	1583.66
Length   60/30, alignment  0/ 3, fail:	1630.03	2992.34	1520.19
Length   60/30, alignment  0/ 9, found:	1648.77	2986.66	1585.28
Length   60/30, alignment  0/ 9, fail:	1645.5	2993.16	1507.16
Length   60/30, alignment  0/15, found:	1627.61	2987.47	1576.33
Length   60/30, alignment  0/15, fail:	1645.5	2990.72	1512.05
